Artikelbezeichnung;Hersteller;Artikelnummer;Kategoriepfad;Beschreibungsfeld;Bild-Link;Deeplink;Verfuegbarkeit;Bruttopreis;Stattpreis;EAN;Versandkosten;
"Erntehilfe Cornuta";"keine Angabe";"FA109361";"Bestäubung>Bestäubung";"Ihr Hilfsmittel für die Kokons-Ernte! Die Erntehilfe für Cornuta ist ein Edelstahlkamm, mit welchem man die Kokons aus den Nistplatten leicht und schonend ernten kann.";https://www.faie.at/media/image/58/93/f9/art_pro_fo_ua_109361_200x200.jpg;"https://www.faie.at/bestaeubung/bestaeubung/5109361/erntehilfe-cornuta";lagernd (derzeit bis zu 10 Werktage Lieferzeit);14,90;17,95;"4260594380957"; 9,95;
"Lagerungs-und Schlupfkarton";"keine Angabe";"FA109362";"Bestäubung>Bestäubung";"Für die sichere Lagerung Ihrer Kokons! Die Lagerungs- und Schlupfkartons eignen sich für die sichere Lagerung der Kokons nach der Ernte bis zum Einsatz in der nächsten Saison. Größe ca. 11 x 11,5 x 0,5 cm";https://www.faie.at/media/image/21/2b/d8/art_pro_fo_ua_109362_200x200.jpg;"https://www.faie.at/bestaeubung/bestaeubung/5109362/lagerungs-und-schlupfkarton";lagernd (derzeit bis zu 10 Werktage Lieferzeit);2,50;3,99;"4260594380964"; 9,95;
"OsmiBOOST Bicornis Niststand";"keine Angabe";"FA109367";"Bestäubung>Bestäubung";"Der OsmiBOOST Niststand - für die effizienteste Bestäubung Ihrer Kulturen! Maße: 24 x 24 x 22,4 cm OsmiBOOST ist geeignet für: Gartenbau Freilandkulturen Geschützter Anbau Vorteile der Mauerbiene: Einfache Handhabung Frühe Bestäubung möglich Langfristig wirtschaftlich bereits ab dem zweiten Jahr Lieferung OHNE Kokons , inkl. Niststand und Nistplattenstapel Bicornis.";https://www.faie.at/media/image/29/3f/3e/art_pro_fo_ua_109367_200x200.jpg;"https://www.faie.at/bestaeubung/bestaeubung/5109367/osmiboost-bicornis-niststand";lagernd (derzeit bis zu 10 Werktage Lieferzeit);49,95;59,95;"4260594381015"; 6,95;
"OsmiBOOST Cornuta Niststand";"keine Angabe";"FA109368";"Bestäubung>Bestäubung";"Der OsmiBOOST Niststand - für die effizienteste Bestäubung Ihrer Kulturen! Maße: 24 x 24 x 22,4 cm OsmiBOOST ist geeignet für: Gartenbau Freilandkulturen Geschützter Anbau Vorteile der Mauerbiene: Einfache Handhabung Frühe Bestäubung möglich Langfristig wirtschaftlich bereits ab dem zweiten Jahr Lieferung OHNE Kokons , inkl. Niststand und Nistplattenstapel Cornuta.";https://www.faie.at/media/image/29/3f/3e/art_pro_fo_ua_109367_200x200.jpg;"https://www.faie.at/bestaeubung/bestaeubung/5109368/osmiboost-cornuta-niststand";lagernd (derzeit bis zu 10 Werktage Lieferzeit);59,95;69,95;"4260594381022"; 6,95;
"Akku-Rasenmäher SLM 544 AE KIT";"STIGA";"FA109412";"Haus, Hof und Garten>Garten>Gartengeräte>Rasenmäher und Vertikutierer";"Maximaler Komfort und Flexibilität! Kein Starten des Motors, kein Hantieren mit Treibstoff, kein umständliches Kaberl. Die perfekte Lösung für Rasenflächen bis 400m2. Leicht und kompakt, aber dennoch leistungsstark und solide gebaut, zeichnet sich der akkubetriebene STIGA SLM 544 AE durch seine überlegene Leistung, robuste Verarbeitung und leichte Handhabung aus. Er hat eine Arbeitsbreite von 42 cm und nimmt nur wenig Lagerplatz im Schuppen oder in der Garage in Anspruch. Inkl. Akku und Ladegerät. Technische Daten: Nennspannung: 48 V Akkukapazität: 5 Ah Motor/Leistung: Bürstenloser Motor/500W Empfohlene Mähfläche: bis zu 400m² Schnittbreite: 42cm Schnitthöheneinstellung: zentral Schnitthöhe: 25-75mm Radantrieb: nein Elektrostart: ja Fangkorb: Kunststoff, 50 L mit Füllstandsanzeige Gehäuse: Polypropylen/ABS Räder: 150/250mm Gewicht: 15 kg";https://www.faie.at/media/image/29/83/25/art_pro_fo_db_109412_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/garten/gartengeraete/rasenmaeher-und-vertikutierer/5109412/akku-rasenmaeher-slm-544-ae-kit";nicht lagernd (10-14 Werktage Lieferzeit);399,00;439,00;"8008984832237"; 25;
"Rasenmäher Collector 48 S";"STIGA";"FA109417";"Haus, Hof und Garten>Garten>Gartengeräte>Rasenmäher und Vertikutierer";"Robuster Benzin-Rasenmäher mit kraftvollem Stiga Motor, komfortablem Radantrieb, 60 Liter Grasfangkorb mit Füllstandsanzeige, sowie praktisch zentraler Schnitthöheneinstellung und 46cm Schnittbreite. Technische Daten: Motorfabrikat: Stiga Motortyp: ST 120 OHV Autochoke Hubraum: 123cm³ Nennleistung: 1,9kW/ 2,6PS Empf. Mähfläche: bis zu 1200m² Schnittgut auffangen: ja Heckauswurf: ja Schnittbreite: 46cm Schnitthöheneinstellung: zentral Schnitthöhe: 22-65mm Schnitthöhenanzahl: 6 Radantrieb: ja Fangkorb, Volumen: 60 Liter Kunststoff mit Füllstandsanzeige Gehäuse: Stahl Räder: Alu 200/200, Kugellager Gewicht: 28kg";https://www.faie.at/media/image/26/f8/99/art_pro_fo_db_109417-2_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/garten/gartengeraete/rasenmaeher-und-vertikutierer/5109417/rasenmaeher-collector-48-s";nicht lagernd (10-14 Werktage Lieferzeit);299,00;348,00;""; 25;
"Stihl Motorsäge MSA 160 C-B Akku 30 cm";"Stihl";"FA109426";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Elektro";"Eine Akku-Motorsäge für den Einsatz in lärmsensiblen Bereichen. Mit Stihl Kettenschnellspannung, Kettenbremse QuickStop Super und werkzeuglosem Tankverschluss. Gerät wird ohne Akku und Ladegerä t geliefert. Empfohlener Akku AP 200. Technische Daten: Gewicht: 3,1 kg Gewicht ohne Akku: 2,7 kg Nennspannung: 36 V Schienenlänge: 30 cm Sägekettenteilung: 1/4"" P Schalldruckpegel dB (A): 84 Schallleistungspegel dB (A): 95 Vibrationswert links/rechts m/s²: 2,7/2,9 Akku Technologie: Lithium-Ion AP-System Akku-Laufzeit mit AP 100/200/300: bis max. 18 min/ 42 min/ 50 min Akku-Laufzeit mit AR 2000/3000: bis max. 180 min/ 230 min";https://www.faie.at/media/image/cf/fc/5f/art_pro_fo_ca_109426_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-elektro/5109426/stihl-motorsaege-msa-160-c-b-akku-30-cm";lagernd (derzeit bis zu 10 Werktage Lieferzeit);339,00;349,00;""; 0;
"Stihl Motorsäge MSA 200 C-B Carving Akku 30 cm";"Stihl";"FA109428";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Elektro";"Die Akku-Carvingsäge MSA 200 C-B hat eine hohe Schnittleistung für den mobilen Einsatz in lärmsensiblen Bereichen. Sie verfügt über die Stihl Kettenschnellspannung, Kettenbremse QuickStop Super, werkzeugloser Tankverschluss. Gerät wird ohne Akku und Ladegerät geliefert. Empfohlener Akku AP 300. Technische Daten: Gewicht: 3,3 kg Gewicht ohne Akku: 2,9 Schienenlänge: 30 cm Nennspannung: 36 V Sägekettenteilung: 1/4"" P Vibrationswert links/rechts m/s²: 4,5/4 Schalldruckpegel dB (A): 84 Schallleitungspegel dB (A): 94";https://www.faie.at/media/image/92/78/f9/art_pro_fo_ca_109428_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-elektro/5109428/stihl-motorsaege-msa-200-c-b-carving-akku-30-cm";nicht lagernd (10-14 Werktage Lieferzeit);499,00;509,00;""; 0;
"Stihl Motorsäge MSA 220 C-B Akku 40 cm";"Stihl";"FA109430";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Elektro";"Die leistungsstarke Akku-Motorsäge mit Stihl Kettenschnellspannung (B) verfügt über eine Fällleiste und einer schnittstarken sowie rückschlagarmen 3/8"" STIHL Picco Super Kette. Für rasche Arbeitsfortschritte sorgt die hohe Kettengeschwindigkeit von bis zu 24 m/s. Empfohlener Akku - AP 300 S. Lieferung lose, ohne Akku und Ladgerät . Technische Daten: Gewicht: 3,6 kg Gewicht ohne Akku: 2,9 kg Nennspannung: 36 V Schienenlänge: 40 cm Sägekettenteilung: 3/8"" P Schalldruckpegel dB (A): 89 Schallleistungspegel dB (A): 100 Akku Technologie: Lithium-Ion AP-System Akku-Laufzeit mit AP 200/300: bis max. 42 min/45 min Akku-Laufzeit mit AP 300 S: bis max. 48 min Akku-Laufzeit mit AR 2000/3000: bis max 160 min/200 min";https://www.faie.at/media/image/7d/1f/56/art_pro_fo_ca_109430_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-elektro/5109430/stihl-motorsaege-msa-220-c-b-akku-40-cm";nicht lagernd (10-14 Werktage Lieferzeit);499,00;507,00;""; 0;
"Rasenmäher Combi 55 SVEQ H";"STIGA";"FA109510";"Haus, Hof und Garten>Garten>Gartengeräte>Rasenmäher und Vertikutierer";"Der Robuste Alleskönner! Stabiler Benzin-Rasenmäher mit kraftvollem Honda Motor, für hohen Bedienkomfort sorgt der DSC Hinterradantrieb sowie das 4in1 Mähsystem: Fangen-Mulchen-Seiten oder-Heckauswurf. Geeignet für Gärten bis zu 2000m². Technische Daten: Motorfabrikat: Honda Motortyp: GCVxe 145 Autochoke Hubraum: 166cm³ Nennleistung: 2,6kW/ 3,5PS Elektrostart: ja Empf. Mähfläche: bis zu 1600m² Mulchfunktion: ja Schnittgut auffangen: ja Heckauswurf: ja Seitenauswurf: ja Schnittbreite: 53cm Schnitthöheneinstellung: zentral Schnitthöhe: 25-65mm Schnitthöhenanzahl: 5 Radantrieb: DSC Hinterradantrieb Variable Geschwindigkeit: ja- Fangkorb, Volumen: Hybrid, 70L mit Füllstandsanzeige Gehäuse: Stahlblech Räder: 180/240, Kugellager Gewicht: 36kg";https://www.faie.at/media/image/e5/2a/80/art_pro_fo_db_109510_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/garten/gartengeraete/rasenmaeher-und-vertikutierer/5109510/rasenmaeher-combi-55-sveq-h";nicht lagernd (10-14 Werktage Lieferzeit);699,00;799,00;"8008984831148"; 25;
"Winkelschleifer WE 2400-230 ";"Metabo";"FA109518";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Elektrowerkzeuge>Winkelschleifer>Zweihand Winkelschleifer";"Robuster Winkelschleifer mit 230mm Scheibendurchmesser und kräftigen 2400 Watt Motor. Bewährter Dauerlauf-Motor mit Abschaltkohlebürten für optimalen Motorschutz.. Komplett mit Spindelarretierung, Schutzhaube und Zusatzhandgriff. Eigengewicht nur 6,2Kg, Leerlaufdrezahl: 6600 U/min.";https://www.faie.at/media/image/81/66/c4/art_pro_fo_aa_109518_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/elektrowerkzeuge/winkelschleifer/zweihand-winkelschleifer/5109518/winkelschleifer-we-2400-230";lagernd (derzeit bis zu 10 Werktage Lieferzeit);169,95;189,90;"4061792177376"; 0;
"Rasenmäher Stiga Twinclip 55 SV H";"STIGA";"FA109565";"Haus, Hof und Garten>Garten>Gartengeräte>Rasenmäher und Vertikutierer";"Profi Benzin-Rasenmäher mit Pro Alu Hinterradantrieb und Kraftvollem Honda Motor. Patentierter 70 Liter Textilfangkorb mit Füllstandsanzeige. Kann auch mit Mulchkeil oder Heckauswurf verwendet werden. Hoher Bedienkomfort durch variable Fahrgeschwindigkeit. Technische Daten: Motorfabrikat: Honda Motortyp: GCV 170 Autochoke Hubraum: 167cm³ Nennleistung: 3,3kW/ 4,5PS Elektrostart: - Empf. Mähfläche: bis zu 2500m² Mulchfunktion: ja Schnittgut auffangen: ja Heckauswurf: ja Seitenauswurf: - Schnittbreite: 53cm, patentiertes Messer Schnitthöheneinstellung: zentral mit patentiertem Druckknopfgriff Schnitthöhe: 25-77mm Schnitthöhenanzahl: 7 Radantrieb: Pro Alu Hinterradantrieb Variable Geschwindigkeit: ja Fangkorb, Volumen: Patentierter 70 L Textilfangkorb mit Füllstandsanzeige Gehäuse: Stahl/Aluminium Räder: Alu 210/240, Kugellager Gewicht: 54,7kg";https://www.faie.at/media/image/91/8f/ae/art_pro_fo_db_109565_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/garten/gartengeraete/rasenmaeher-und-vertikutierer/5109565/rasenmaeher-stiga-twinclip-55-sv-h";nicht lagernd (10-14 Werktage Lieferzeit);998,00;1099,00;"8008984811904"; 25;
"Rasenroboter Husqvarna 430X";"Husqvarna";"FA109774";"Haus, Hof und Garten>Garten>Gartengeräte>Rasenroboter";"Rasenroboter aus der Husqvarna X-Serie. Top Ausstattung mit Automower Connect - einfache Kontrolle und einstellung über Ihr Handy, LED Scheinwerfer und GPS gestütze Navigation. Für Flächen bis zu 3.200m2 und Steigungen bis 45%. Mähzeit mit einer Ladung ca.145min, Ladezeit 50min, mindest Durchgang nur 60cm, Extrem Leise nur 59 dB(A). Komplett mit Ladestation aber ohne Verlegematerial und Garage.";https://www.faie.at/media/image/90/3a/f0/art_pro_fo_db_109774_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/garten/gartengeraete/rasenroboter/5109774/rasenroboter-husqvarna-430x";lagernd (derzeit bis zu 10 Werktage Lieferzeit);2990,00;3199,00;"7391736591645"; 0;
"Kreisler Fendt";"Jamara";"FA109998";"Spielzeug, Kindersachen>Spielzeug>Kinderfahrzeuge>Kindertraktoren, Bagger & Co.";"Highlights: Rotierende Zinken während des Fahrbetriebs Ferngesteuerte hochklappbare Auslegerarme Anhängerkupplung vorne Alter: ab 6 Jahre Lieferumfang: Modell Anleitung Technische Daten: Abmessungen ~ 340 x 450 x 250 mm Gewicht ~ 389,8 g Maßstab: 1:16 Sicherheitshinweise ACHTUNG – Benutzung unter unmittelbarer Aufsicht von Erwachsenen. ACHTUNG - Für Kinder unter 36 Monaten nicht geeignet. Enthält verschluckbare Kleinteile. Erstickungsgefahr! Von Kleinkindern unbedingt fernhalten.";https://www.faie.at/media/image/0e/cd/d4/art_pro_fo_ib_109998_200x200.jpg;"https://www.faie.at/spielzeug-kindersachen/spielzeug/kinderfahrzeuge/kindertraktoren-bagger-co./5109998/kreisler-fendt";lagernd (derzeit bis zu 10 Werktage Lieferzeit);22,49;29,95;"4042774445133"; 9,95;
"Notstrom Erzeuger PG-E 60 SEA";"Unicraft";"FA110008";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Maschinen und Geräte>Notstromgeneratoren>Motor-Generatoren";"Synchron-Stromerzeuger für den anspruchsvoller Privatanwender und den Semiprofi Alle Generatoren mit Kupferwicklungen Kurzeitige Leistung bis zum 3-fachen der Nennleistung Automatische Spannungsregelung AVR Überlastschutz durch Thermoschutzschalter Ölmangelabschaltung mit Warnlampe 3 in 1 Display für Spannung, Frequenz und Betriebsstunden Lange Laufzeit durch großen Tank Tank mit Füllstandsanzeige Anschlüsse ergonomisch günstig an der Stirnseite Technische Daten: Spannung: 230V Notleistung LTP / 230V: 5,5kW Dauerleistung COP / 230V: 5,0kW Motor: SC188F Kraftstofff: Benzin Anlasser: Handstart / E-Start Fassungsvermögen Tank: 25l Schalldruck: 76dB(A) Schutzklasse Generator: IP23 Schutzklasse Steckdosen: IP44 Abmessungen: 700x526x580mm Gewicht: 81kg";https://www.faie.at/media/image/8f/cc/fe/art_pro_fo_ac_110008-1_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/maschinen-und-geraete/notstromgeneratoren/motor-generatoren/5110008/notstrom-erzeuger-pg-e-60-sea";lagernd (derzeit bis zu 10 Werktage Lieferzeit);798,00;1180,00;"4036351215196"; 25;
"Handdesinfektionsmittel 250ml";"keine Angabe";"FA110058";"Haus, Hof und Garten>Arbeitsschutz>Handschutz>Hautschutz-Seife,Cremen,Spend.";"Wirksames Hand-Desinfektionsmittel in praktischer 250ml Vorratsflasche. Mit wiederverschließbarer Dosieröffnung. Abgabe nur in Haushaltsmengen ( max.3 Stk).";https://www.faie.at/media/image/0f/22/ef/art_pro_fo_da_110058_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/handschutz/hautschutz-seife-cremen-spend./5110058/handdesinfektionsmittel-250ml";lagernd (derzeit bis zu 10 Werktage Lieferzeit);9,99;14,95;"4064700401143"; 9,95;
"Handdesinfektionsmittel 50ml";"keine Angabe";"FA110059";"Haus, Hof und Garten>Arbeitsschutz>Handschutz>Hautschutz-Seife,Cremen,Spend.";"Wirksames Mittel zur raschen Hand - Desinfektion. Durch praktische 50ml Flasche überall leicht mitzunehmen/Einsetzbar. Abgabe nur in Haushaltsmengen (max.3 Stk).";https://www.faie.at/media/image/92/a8/5f/art_pro_fo_da_110059_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/handschutz/hautschutz-seife-cremen-spend./5110059/handdesinfektionsmittel-50ml";lagernd (derzeit bis zu 10 Werktage Lieferzeit);4,99;7,95;"4064700401044"; 9,95;
"Praktiker Set ""Avenger"" 3tlg.";"keine Angabe";"FA110060";"Werkzeuge Maschinen>Werkstattbedarf>Reinigungsmittel>Reinigungsmittel";"Das Ultimative Praktiker- und Überlebensset, bestehend aus einem 50mm Universal Gewebeband (Panzerband), einem 100ml WD40 Classic Spray und dem Universal Kabelbinder Sortiment 650 tlg. DAS Problemlöser Set für alle Fälle sollte in keiner Werkstätte und keinem Haushalt fehlen !";https://www.faie.at/media/image/31/64/20/art_pro_fo_wb_110060_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/werkstattbedarf/reinigungsmittel/reinigungsmittel/5110060/praktiker-set-quot-avenger-quot-3tlg.";lagernd (derzeit bis zu 10 Werktage Lieferzeit);19,95;24,93;""; 9,95;
"Akku-Trimmer FSA 57 Set";"Stihl";"FA110072";"Forst>Forst-Zubehör>Aufforstungs- / Kulturwerkzeug>Durchforstungswerkzeug";"Neuer, handlicher Akku-Trimmer ideal für Ihre Arbeiten rund ums Haus. Starke Mähleistung, Schneidkreis-Durchmesser 280 mm, einstellbare Schaftlänge per Knopfdruck und werkzeuglose Griffverstellung, Softgriff mit Schalthebel, Abstandsbügel. Durch Tippen des Mähkopfs auf den Boden stellt sich der Mähfaden automatisch nach, Set serienmäßig mit Ladegerät AL 101 und Akku AK10. Technische Daten: Gewicht mit Akku: 3,5 kg 36 Volt Akku mit 1,6 Ah Vibrationswert links/rechts m/s² : 4,0/4,0 Gesamtlänge: 149 cm Schneidwerkzeug AutoCut 3-2 Akku-Technologie: Lithium-Ion AK-System Akku-Laufzeit mit AK 10 min: bis 25";https://www.faie.at/media/image/60/8a/d6/art_pro_fo_cd_109463_200x200.jpg;"https://www.faie.at/forst/forst-zubehoer/aufforstungs-kulturwerkzeug/durchforstungswerkzeug/5110072/akku-trimmer-fsa-57-set";lagernd (derzeit bis zu 10 Werktage Lieferzeit);279,90;317,00;""; 0;
"Akku Blasgerät BGA 86 lose";"Stihl";"FA110088";"Haus, Hof und Garten>Garten>Gartengeräte>Saug-und Blasgeräte";"Sehr komfortabel zu bedienen. Ein sehr leistungsstarkes Akku-Blasgerät für die professionelle Anwendung vorallem in innerstädtischen Bereichen wie auf Spiel- und Parkplätzen. Zum Entfernen von Laub, Grünschnitt und Schmutz. Runddüse, längenverstellbares Blasrohr, Technische Daten: Gewicht 2,8 kg Max. Luftgeschwindigkeit 69 m/s Max. Luftdurchsatz 940 m³/h Arbeitszeiten pro Akkuladung mit AP 300/300S bis max. 21 min/26 min. Lieferung ohne Akku und Ladegerät !";https://www.faie.at/media/image/80/c8/89/art_pro_fo_db_110088_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/garten/gartengeraete/saug-und-blasgeraete/5110088/akku-blasgeraet-bga-86-lose";nicht lagernd (10-14 Werktage Lieferzeit);319,00;329,00;""; 0;
"Mundschutzmaske Baumwolle 3 Stk. Packung";"keine Angabe";"FA110118";"Haus, Hof und Garten>Arbeitsschutz>Kopf, Augen, Atem, Gehörschutz>Atemschutz";"2- lagiger Mundschutz aus 100% Baumwolle, gesundheitsfreundlich, Zertifikat Öko Text Standard 100, Klasse 1. Wiederverwendbar , bei bis zu 90°C waschbar und bis zu 200°C bügelbar. Mit praktischen Gummibändern um die Ohren, Größe Unisex, in verschiedenen Farbkombinationen. Der Mundschutz dient zur Vorbeugung der Übertragung von Ansteckungen von kontaminierten Quellen, da er die Berührung von Gesicht und Schleimhäuten verhindert. Dazu dient er, bei potenziell bereits angesteckten Menschen weitere Ansteckungen vorbeugend zu verhindern, bzw. die Gefahr zu reduzieren. Der Mundschutz ist kein medizinisches Mittel, bzw. keine Atemmaske - er gewährt einen vorbeugenden hygienischen Schutz !";https://www.faie.at/media/image/82/a8/51/art_pro_fo_da_110118_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/kopf-augen-atem-gehoerschutz/atemschutz/5110118/mundschutzmaske-baumwolle-3-stk.-packung";lagernd (derzeit bis zu 10 Werktage Lieferzeit);9,99;14,90;""; 9,95;
"Enzborn Jodseife 500ml";"Enzborn";"FA110218";"Haushalt, Gesundheit>Natürlich Gesund>Pflege & Hygieneartikel>Salben & Cremen";"ENZBORN Jodseife - mit PVP-Jod Reinigung und Desinfektion von Händen & Haut – wirksam gegen Corona-Viren, Bakterien und Hefen ENZBORN® Jodseife reinigt gründlich und desinfiziert gleichzeitig Hände und Haut. Die Jod-Formulierung ist wirksam gegen Bakterien, Hefen und behüllte Viren wie Corona-Viren. ENZBORN® Jodseife enthält feuchtigkeitsspendendes Glycerin. Ideal für die mehrmalige, tägliche Handwäsche und Desinfektion in einem. Anwendung: ENZBORN® Jodseife auf die angefeuchteten Hände geben Mindestens 30 Sekunden einseifen und einwirken lassen Mit klarem Wasser gründlich abspülen Hände sorgfältig abtrocknen.";https://www.faie.at/media/image/56/cc/a0/art_pro_fo_ic_110218_200x200.jpg;"https://www.faie.at/haushalt-gesundheit/natuerlich-gesund/pflege-hygieneartikel/salben-cremen/5110218/enzborn-jodseife-500ml";lagernd (derzeit bis zu 10 Werktage Lieferzeit);12,90;16,95;"4105170622260"; 9,95;
